Site,Identitas Campaign,Nama Campaign,Id Transaksi,Tipe Konsumen,Status,Waktu Klik,Waktu Konversi,Waktu Konfirmasi,Category ID,Product ID,Harga/unit,Jumlah,Harga Total,Jumlah Komisi,Id Konversi,Creative ID,SessionID,Status Postback,Hitungan Error Postback,Waktu Postback,URL Postback,Alamat IP,Negara,Kota,Agen Pengguna,Tipe Peraga,Merek Peraga,Browser,Bahasa,Domain Rujukan,URL Rujukan,utm_source,utm_medium,utm_content,utm_campaign,utm_term,target_age,target_gender,target_interest,target_marital_status,target_parental_status,target_education,target_employment,target_life_event,target_homeownership,target_income,opt_1,opt_2,opt_3,opt_4,opt_5,opt_6,opt_7,opt_8,opt_9,opt_10,aff_sub,aff_sub2,aff_sub3
garybu0801,966,Shopee ID NON KOL,209667593210251,existing-indirect,PENDING,2025-07-30 08:58:16,2025-08-23 23:59:00,--,Aksesoris Fashion,250824KDQTG38S_p-i.593513335.22769901476_250634235326_Ikat+Rambut+Pita+%26+Scrunchie,16750.0,1,16750.0,235.00,195338075,108007,--,NOT_NEEDED,0,2025-08-24 20:57:03,http://bytecmedia.leadsconv.com/conversion?adv_sys=accesstradebytec&adn_city=Clifton&usd_sale_amount=16750&conv_status=0&adn_country=United+States&conv_revenue=235&conv_time=2025-08-23T23%3A59&adn_d_brand=unknown&adv_s1=Aksesoris+Fashion&action_id=30&aff_sub=A_OEM2_VIVO_PUSH_AUG&traffic_time=2025-07-30T08%3A58%3A16&order_id=195338075&adn_d_type=DESKTOP,142.93.176.189,United States,Clifton,Mozilla/5.0 (Windows NT 6.1; rv:11.0) Gecko/20100101 Firefox/11.0,DESKTOP,unknown,Firefox,English,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,A_OEM2_VIVO_PUSH_AUG,--,--
garybu0801,966,Shopee ID NON KOL,209667535225415,existing-indirect,PENDING,2025-07-30 08:58:16,2025-08-23 23:58:00,--,Fashion Bayi & Anak,250824KDP368H0_p-i.455387718.22472694039_79323477408_Baju+Renang,111600.0,1,111600.0,1562.00,195338105,108007,--,NOT_NEEDED,0,2025-08-24 21:12:43,http://bytecmedia.leadsconv.com/conversion?adv_sys=accesstradebytec&adn_city=Clifton&usd_sale_amount=111600&conv_status=0&adn_country=United+States&conv_revenue=1562&conv_time=2025-08-23T23%3A58&adn_d_brand=unknown&adv_s1=Fashion+Bayi+%26+Anak&action_id=30&aff_sub=A_OEM2_VIVO_PUSH_AUG&traffic_time=2025-07-30T08%3A58%3A16&order_id=195338105&adn_d_type=DESKTOP,142.93.176.189,United States,Clifton,Mozilla/5.0 (Windows NT 6.1; rv:11.0) Gecko/20100101 Firefox/11.0,DESKTOP,unknown,Firefox,English,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,A_OEM2_VIVO_PUSH_AUG,--,--
garybu0801,966,Shopee ID NON KOL,209667382217314,existing-indirect,PENDING,2025-07-24 17:33:13,2025-08-23 23:56:00,--,Pakaian Pria,250824KDHH8TD9_p-i.81032061.6675945477_33331022763_,65450.0,1,65450.0,916.00,195338183,108007,--,NOT_NEEDED,0,2025-08-24 21:02:07,http://bytecmedia.leadsconv.com/conversion?adv_sys=accesstradebytec&adn_city=Clifton&usd_sale_amount=65450&conv_status=0&adn_country=United+States&conv_revenue=916&conv_time=2025-08-23T23%3A56&adn_d_brand=unknown&adv_s1=Pakaian+Pria&action_id=30&aff_sub=A_OEM3_OPPO_PUSH_01&traffic_time=2025-07-24T17%3A33%3A13&aff_sub2=%7Bmedia_id%7D&aff_sub3=%7Bclick_id%7D&order_id=195338183&adn_d_type=DESKTOP,142.93.176.189,United States,Clifton,Mozilla/5.0 (Windows NT 6.1; rv:11.0) Gecko/20100101 Firefox/11.0,DESKTOP,unknown,Firefox,English,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,A_OEM3_OPPO_PUSH_01,{media_id},{click_id}
garybu0801,966,Shopee ID NON KOL,209667085267215,existing-indirect,PENDING,2025-07-30 08:58:16,2025-08-23 23:51:00,--,Fashion Bayi & Anak,250824KD8P2RPE_p-i.1018449321.26412209114_251657863709_Set,0.0,1,0.0,0.00,195338328,108007,--,NOT_NEEDED,0,2025-08-24 21:12:03,http://bytecmedia.leadsconv.com/conversion?adv_sys=accesstradebytec&adn_city=Clifton&usd_sale_amount=0&conv_status=0&adn_country=United+States&conv_revenue=0&conv_time=2025-08-23T23%3A51&adn_d_brand=unknown&adv_s1=Fashion+Bayi+%26+Anak&action_id=30&aff_sub=A_OEM2_VIVO_PUSH_AUG&traffic_time=2025-07-30T08%3A58%3A16&order_id=195338328&adn_d_type=DESKTOP,142.93.176.189,United States,Clifton,Mozilla/5.0 (Windows NT 6.1; rv:11.0) Gecko/20100101 Firefox/11.0,DESKTOP,unknown,Firefox,English,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,A_OEM2_VIVO_PUSH_AUG,--,--
garybu0801,966,Shopee ID NON KOL,209666912258917,existing-indirect,PENDING,2025-07-24 17:33:13,2025-08-23 23:48:00,--,Mobil,250824KD3H2TUF_p-i.227573167.15168744128_143434525146_Rantai+Transmisi+%26+Kopling,874855.0,1,874855.0,10500.00,195338436,108007,--,NOT_NEEDED,1,2025-08-24 21:58:59,http://bytecmedia.leadsconv.com/conversion?adv_sys=accesstradebytec&adn_city=Clifton&usd_sale_amount=874855&conv_status=0&adn_country=United+States&conv_revenue=10500&conv_time=2025-08-23T23%3A48&adn_d_brand=unknown&adv_s1=Mobil&action_id=30&aff_sub=A_OEM3_OPPO_PUSH_01&traffic_time=2025-07-24T17%3A33%3A13&aff_sub2=%7Bmedia_id%7D&aff_sub3=%7Bclick_id%7D&order_id=195338436&adn_d_type=DESKTOP,142.93.176.189,United States,Clifton,Mozilla/5.0 (Windows NT 6.1; rv:11.0) Gecko/20100101 Firefox/11.0,DESKTOP,unknown,Firefox,English,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,A_OEM3_OPPO_PUSH_01,{media_id},{click_id}
garybu0801,966,Shopee ID NON KOL,209666644281467,existing-indirect,PENDING,2025-07-30 08:58:16,2025-08-23 23:44:00,--,Sepeda Motor,250824KCUHGXK2_p-i.199083387.14896369028_230908849989_Pengapian+%26+Suku+Cadang+Mesin,9225.0,1,9225.0,129.00,195338565,108007,--,NOT_NEEDED,0,2025-08-24 21:17:50,http://bytecmedia.leadsconv.com/conversion?adv_sys=accesstradebytec&adn_city=Clifton&usd_sale_amount=9225&conv_status=0&adn_country=United+States&conv_revenue=129&conv_time=2025-08-23T23%3A44&adn_d_brand=unknown&adv_s1=Sepeda+Motor&action_id=30&aff_sub=A_OEM2_VIVO_PUSH_AUG&traffic_time=2025-07-30T08%3A58%3A16&order_id=195338565&adn_d_type=DESKTOP,142.93.176.189,United States,Clifton,Mozilla/5.0 (Windows NT 6.1; rv:11.0) Gecko/20100101 Firefox/11.0,DESKTOP,unknown,Firefox,English,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,A_OEM2_VIVO_PUSH_AUG,--,--
garybu0801,966,Shopee ID NON KOL,2755967428451447867,existing-indirect,PENDING,2025-07-30 08:58:16,2025-08-23 23:43:00,--,Digital Nol,2755967428451447867_p-i.172223406.106727_0_Pulsa,11003.0,1,11003.0,0.00,195338573,108007,--,NOT_NEEDED,1,2025-08-24 22:22:24,http://bytecmedia.leadsconv.com/conversion?adv_sys=accesstradebytec&adn_city=Clifton&usd_sale_amount=11003&conv_status=0&adn_country=United+States&conv_revenue=0&conv_time=2025-08-23T23%3A43&adn_d_brand=unknown&adv_s1=Digital+Nol&action_id=30&aff_sub=A_OEM2_VIVO_PUSH_AUG&traffic_time=2025-07-30T08%3A58%3A16&order_id=195338573&adn_d_type=DESKTOP,142.93.176.189,United States,Clifton,Mozilla/5.0 (Windows NT 6.1; rv:11.0) Gecko/20100101 Firefox/11.0,DESKTOP,unknown,Firefox,English,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,A_OEM2_VIVO_PUSH_AUG,--,--
garybu0801,966,Shopee ID NON KOL,209666475222985,existing-indirect,PENDING,2025-07-24 17:33:13,2025-08-23 23:41:00,--,Aksesoris Fashion,250824KCPG9Q1T_p-i.271066980.13669240639_123649463469_Kacamata+Hitam,8879.0,1,8879.0,124.00,195338650,108007,--,NOT_NEEDED,0,2025-08-24 20:57:50,http://bytecmedia.leadsconv.com/conversion?adv_sys=accesstradebytec&adn_city=Clifton&usd_sale_amount=8879&conv_status=0&adn_country=United+States&conv_revenue=124&conv_time=2025-08-23T23%3A41&adn_d_brand=unknown&adv_s1=Aksesoris+Fashion&action_id=30&aff_sub=A_OEM3_OPPO_PUSH_01&traffic_time=2025-07-24T17%3A33%3A13&aff_sub2=%7Bmedia_id%7D&aff_sub3=%7Bclick_id%7D&order_id=195338650&adn_d_type=DESKTOP,142.93.176.189,United States,Clifton,Mozilla/5.0 (Windows NT 6.1; rv:11.0) Gecko/20100101 Firefox/11.0,DESKTOP,unknown,Firefox,English,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,A_OEM3_OPPO_PUSH_01,{media_id},{click_id}
garybu0801,966,Shopee ID NON KOL,209666285247304,existing-indirect,PENDING,2025-07-24 17:33:13,2025-08-23 23:38:00,--,Sepeda Motor,250824KCGU45CC_p-i.1437603130.27832498302_243110164556_Rantai+Transmisi+%26+Kopling,21000.0,1,21000.0,294.00,195338752,108007,--,NOT_NEEDED,0,2025-08-24 21:17:47,http://bytecmedia.leadsconv.com/conversion?adv_sys=accesstradebytec&adn_city=Clifton&usd_sale_amount=21000&conv_status=0&adn_country=United+States&conv_revenue=294&conv_time=2025-08-23T23%3A38&adn_d_brand=unknown&adv_s1=Sepeda+Motor&action_id=30&aff_sub=A_OEM3_OPPO_PUSH_01&traffic_time=2025-07-24T17%3A33%3A13&aff_sub2=%7Bmedia_id%7D&aff_sub3=%7Bclick_id%7D&order_id=195338752&adn_d_type=DESKTOP,142.93.176.189,United States,Clifton,Mozilla/5.0 (Windows NT 6.1; rv:11.0) Gecko/20100101 Firefox/11.0,DESKTOP,unknown,Firefox,English,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,A_OEM3_OPPO_PUSH_01,{media_id},{click_id}
garybu0801,966,Shopee ID NON KOL,209666263282544,existing-indirect,PENDING,2025-07-24 17:33:13,2025-08-23 23:37:00,--,Aksesoris Fashion,250824KCG66043_p-i.280461595.11729949226_94281770920_,7350.0,1,7350.0,103.00,195338759,108007,--,NOT_NEEDED,0,2025-08-24 20:56:25,http://bytecmedia.leadsconv.com/conversion?adv_sys=accesstradebytec&adn_city=Clifton&usd_sale_amount=7350&conv_status=0&adn_country=United+States&conv_revenue=103&conv_time=2025-08-23T23%3A37&adn_d_brand=unknown&adv_s1=Aksesoris+Fashion&action_id=30&aff_sub=A_OEM3_OPPO_PUSH_01&traffic_time=2025-07-24T17%3A33%3A13&aff_sub2=%7Bmedia_id%7D&aff_sub3=%7Bclick_id%7D&order_id=195338759&adn_d_type=DESKTOP,142.93.176.189,United States,Clifton,Mozilla/5.0 (Windows NT 6.1; rv:11.0) Gecko/20100101 Firefox/11.0,DESKTOP,unknown,Firefox,English,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,A_OEM3_OPPO_PUSH_01,{media_id},{click_id}
garybu0801,966,Shopee ID NON KOL,209666171212130,existing-indirect,PENDING,2025-07-24 17:33:13,2025-08-23 23:36:00,--,Ibu & Bayi,250824KCDEC0GB_p-i.175473624.27605992934_233025608053_Perawatan+Rambut+%26+Sabun+Mandi,16128.0,1,16128.0,226.00,195338815,108007,--,NOT_NEEDED,0,2025-08-24 21:16:04,http://bytecmedia.leadsconv.com/conversion?adv_sys=accesstradebytec&adn_city=Clifton&usd_sale_amount=16128&conv_status=0&adn_country=United+States&conv_revenue=226&conv_time=2025-08-23T23%3A36&adn_d_brand=unknown&adv_s1=Ibu+%26+Bayi&action_id=30&aff_sub=A_OEM3_OPPO_PUSH_01&traffic_time=2025-07-24T17%3A33%3A13&aff_sub2=%7Bmedia_id%7D&aff_sub3=%7Bclick_id%7D&order_id=195338815&adn_d_type=DESKTOP,142.93.176.189,United States,Clifton,Mozilla/5.0 (Windows NT 6.1; rv:11.0) Gecko/20100101 Firefox/11.0,DESKTOP,unknown,Firefox,English,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,A_OEM3_OPPO_PUSH_01,{media_id},{click_id}
garybu0801,966,Shopee ID NON KOL,209666171212130,existing-indirect,PENDING,2025-07-24 17:33:13,2025-08-23 23:36:00,--,Ibu & Bayi,250824KCDEC0GB_p-i.175473624.29517437152_39487005160_Perawatan+Rambut+%26+Sabun+Mandi,33312.0,1,33312.0,466.00,195338816,108007,--,NOT_NEEDED,0,2025-08-24 21:14:53,http://bytecmedia.leadsconv.com/conversion?adv_sys=accesstradebytec&adn_city=Clifton&usd_sale_amount=33312&conv_status=0&adn_country=United+States&conv_revenue=466&conv_time=2025-08-23T23%3A36&adn_d_brand=unknown&adv_s1=Ibu+%26+Bayi&action_id=30&aff_sub=A_OEM3_OPPO_PUSH_01&traffic_time=2025-07-24T17%3A33%3A13&aff_sub2=%7Bmedia_id%7D&aff_sub3=%7Bclick_id%7D&order_id=195338816&adn_d_type=DESKTOP,142.93.176.189,United States,Clifton,Mozilla/5.0 (Windows NT 6.1; rv:11.0) Gecko/20100101 Firefox/11.0,DESKTOP,unknown,Firefox,English,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,A_OEM3_OPPO_PUSH_01,{media_id},{click_id}
garybu0801,966,Shopee ID NON KOL,209666156215264,existing-indirect,PENDING,2025-07-24 17:33:13,2025-08-23 23:35:00,--,Perawatan & Kecantikan,250824KCD02FFS_p-i.241623354.12339837712_131796087265_Sunscreen+Wajah,44399.0,1,44399.0,622.00,195338825,108007,--,NOT_NEEDED,0,2025-08-24 21:10:30,http://bytecmedia.leadsconv.com/conversion?adv_sys=accesstradebytec&adn_city=Clifton&usd_sale_amount=44399&conv_status=0&adn_country=United+States&conv_revenue=622&conv_time=2025-08-23T23%3A35&adn_d_brand=unknown&adv_s1=Perawatan+%26+Kecantikan&action_id=30&aff_sub=A_OEM3_OPPO_PUSH_01&traffic_time=2025-07-24T17%3A33%3A13&aff_sub2=%7Bmedia_id%7D&aff_sub3=%7Bclick_id%7D&order_id=195338825&adn_d_type=DESKTOP,142.93.176.189,United States,Clifton,Mozilla/5.0 (Windows NT 6.1; rv:11.0) Gecko/20100101 Firefox/11.0,DESKTOP,unknown,Firefox,English,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,A_OEM3_OPPO_PUSH_01,{media_id},{click_id}
garybu0801,966,Shopee ID NON KOL,209666005210811,existing-indirect,PENDING,2025-07-24 17:33:13,2025-08-23 23:33:00,--,Makanan & Minuman,250824KC8G21JJ_p-i.389248390.28856655112_185391488434_Selai+%26+Olesan,44159.0,1,44159.0,618.00,195338920,108007,--,NOT_NEEDED,0,2025-08-24 21:00:04,http://bytecmedia.leadsconv.com/conversion?adv_sys=accesstradebytec&adn_city=Clifton&usd_sale_amount=44159&conv_status=0&adn_country=United+States&conv_revenue=618&conv_time=2025-08-23T23%3A33&adn_d_brand=unknown&adv_s1=Makanan+%26+Minuman&action_id=30&aff_sub=A_OEM3_OPPO_PUSH_01&traffic_time=2025-07-24T17%3A33%3A13&aff_sub2=%7Bmedia_id%7D&aff_sub3=%7Bclick_id%7D&order_id=195338920&adn_d_type=DESKTOP,142.93.176.189,United States,Clifton,Mozilla/5.0 (Windows NT 6.1; rv:11.0) Gecko/20100101 Firefox/11.0,DESKTOP,unknown,Firefox,English,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,A_OEM3_OPPO_PUSH_01,{media_id},{click_id}
garybu0801,966,Shopee ID NON KOL,209665906216900,new-indirect,PENDING,2025-07-30 08:58:16,2025-08-23 23:31:00,--,Aksesoris Fashion,250824KC5HMVJ3_p-i.254373433.16996705161_240020890365_Aksesoris+Tambahan+Lainnya,6000.0,1,6000.0,84.00,195338979,108007,--,NOT_NEEDED,0,2025-08-24 20:55:27,http://bytecmedia.leadsconv.com/conversion?adv_sys=accesstradebytec&adn_city=Clifton&usd_sale_amount=6000&conv_status=0&adn_country=United+States&conv_revenue=84&conv_time=2025-08-23T23%3A31&adn_d_brand=unknown&adv_s1=Aksesoris+Fashion&action_id=30&aff_sub=A_OEM2_VIVO_PUSH_AUG&traffic_time=2025-07-30T08%3A58%3A16&order_id=195338979&adn_d_type=DESKTOP,142.93.176.189,United States,Clifton,Mozilla/5.0 (Windows NT 6.1; rv:11.0) Gecko/20100101 Firefox/11.0,DESKTOP,unknown,Firefox,English,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,A_OEM2_VIVO_PUSH_AUG,--,--
garybu0801,966,Shopee ID NON KOL,209665888250704,existing-indirect,PENDING,2025-07-24 17:33:13,2025-08-23 23:31:00,--,Perawatan & Kecantikan,250824KC50GWCQ_p-i.878702264.19770559174_203679994768_Body+Cream+Body+Lotion+%26+Body+Butter,74820.0,1,74820.0,1047.00,195338988,108007,--,NOT_NEEDED,0,2025-08-24 21:11:21,http://bytecmedia.leadsconv.com/conversion?adv_sys=accesstradebytec&adn_city=Clifton&usd_sale_amount=74820&conv_status=0&adn_country=United+States&conv_revenue=1047&conv_time=2025-08-23T23%3A31&adn_d_brand=unknown&adv_s1=Perawatan+%26+Kecantikan&action_id=30&aff_sub=A_OEM3_OPPO_PUSH_01&traffic_time=2025-07-24T17%3A33%3A13&aff_sub2=%7Bmedia_id%7D&aff_sub3=%7Bclick_id%7D&order_id=195338988&adn_d_type=DESKTOP,142.93.176.189,United States,Clifton,Mozilla/5.0 (Windows NT 6.1; rv:11.0) Gecko/20100101 Firefox/11.0,DESKTOP,unknown,Firefox,English,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,A_OEM3_OPPO_PUSH_01,{media_id},{click_id}
garybu0801,966,Shopee ID NON KOL,209665884216609,existing-indirect,PENDING,2025-07-30 08:58:16,2025-08-23 23:31:00,--,Aksesoris Fashion,250824KC4VNJWG_p-i.1497657411.40357301911_270617905612_,9299.0,1,9299.0,130.00,195338993,108007,--,NOT_NEEDED,0,2025-08-24 20:57:00,http://bytecmedia.leadsconv.com/conversion?adv_sys=accesstradebytec&adn_city=Clifton&usd_sale_amount=9299&conv_status=0&adn_country=United+States&conv_revenue=130&conv_time=2025-08-23T23%3A31&adn_d_brand=unknown&adv_s1=Aksesoris+Fashion&action_id=30&aff_sub=A_OEM2_VIVO_PUSH_AUG&traffic_time=2025-07-30T08%3A58%3A16&order_id=195338993&adn_d_type=DESKTOP,142.93.176.189,United States,Clifton,Mozilla/5.0 (Windows NT 6.1; rv:11.0) Gecko/20100101 Firefox/11.0,DESKTOP,unknown,Firefox,English,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,A_OEM2_VIVO_PUSH_AUG,--,--
garybu0801,966,Shopee ID NON KOL,209665608290869,existing-indirect,PENDING,2025-07-24 17:33:13,2025-08-23 23:26:00,--,Sepeda Motor,250824KBVNH6CQ_p-i.274254452.29227287607_242715804017_Suku+Cadang+Motor+Lainnya,16500.0,1,16500.0,231.00,195339163,108007,--,NOT_NEEDED,0,2025-08-24 21:18:51,http://bytecmedia.leadsconv.com/conversion?adv_sys=accesstradebytec&adn_city=Clifton&usd_sale_amount=16500&conv_status=0&adn_country=United+States&conv_revenue=231&conv_time=2025-08-23T23%3A26&adn_d_brand=unknown&adv_s1=Sepeda+Motor&action_id=30&aff_sub=A_OEM3_OPPO_PUSH_01&traffic_time=2025-07-24T17%3A33%3A13&aff_sub2=%7Bmedia_id%7D&aff_sub3=%7Bclick_id%7D&order_id=195339163&adn_d_type=DESKTOP,142.93.176.189,United States,Clifton,Mozilla/5.0 (Windows NT 6.1; rv:11.0) Gecko/20100101 Firefox/11.0,DESKTOP,unknown,Firefox,English,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,A_OEM3_OPPO_PUSH_01,{media_id},{click_id}
garybu0801,966,Shopee ID NON KOL,209665541247917,existing-indirect,PENDING,2025-07-30 08:58:16,2025-08-23 23:25:00,--,Buku & Alat Tulis,250824KBTNJT4N_p-i.1484765451.26735397959_168906262277_Pulpen+%26+Tinta,1710.0,1,1710.0,24.00,195339215,108007,--,NOT_NEEDED,1,2025-08-24 22:21:29,http://bytecmedia.leadsconv.com/conversion?adv_sys=accesstradebytec&adn_city=Clifton&usd_sale_amount=1710&conv_status=0&adn_country=United+States&conv_revenue=24&conv_time=2025-08-23T23%3A25&adn_d_brand=unknown&adv_s1=Buku+%26+Alat+Tulis&action_id=30&aff_sub=A_OEM2_VIVO_PUSH_AUG&traffic_time=2025-07-30T08%3A58%3A16&order_id=195339215&adn_d_type=DESKTOP,142.93.176.189,United States,Clifton,Mozilla/5.0 (Windows NT 6.1; rv:11.0) Gecko/20100101 Firefox/11.0,DESKTOP,unknown,Firefox,English,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,A_OEM2_VIVO_PUSH_AUG,--,--
garybu0801,966,Shopee ID NON KOL,209665541247917,existing-indirect,PENDING,2025-07-30 08:58:16,2025-08-23 23:25:00,--,Buku & Alat Tulis,250824KBTNJT4N_p-i.1484765451.26735397959_168906262277_Pulpen+%26+Tinta-AT1,1710.0,1,1710.0,24.00,195339216,108007,--,NOT_NEEDED,1,2025-08-24 22:10:04,http://bytecmedia.leadsconv.com/conversion?adv_sys=accesstradebytec&adn_city=Clifton&usd_sale_amount=1710&conv_status=0&adn_country=United+States&conv_revenue=24&conv_time=2025-08-23T23%3A25&adn_d_brand=unknown&adv_s1=Buku+%26+Alat+Tulis&action_id=30&aff_sub=A_OEM2_VIVO_PUSH_AUG&traffic_time=2025-07-30T08%3A58%3A16&order_id=195339216&adn_d_type=DESKTOP,142.93.176.189,United States,Clifton,Mozilla/5.0 (Windows NT 6.1; rv:11.0) Gecko/20100101 Firefox/11.0,DESKTOP,unknown,Firefox,English,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,A_OEM2_VIVO_PUSH_AUG,--,--
garybu0801,966,Shopee ID NON KOL,209665541247917,existing-indirect,PENDING,2025-07-30 08:58:16,2025-08-23 23:25:00,--,Buku & Alat Tulis,250824KBTNJT4N_p-i.1484765451.26735397959_168906262277_Pulpen+%26+Tinta-AT2,600.0,1,600.0,8.00,195339217,108007,--,NOT_NEEDED,1,2025-08-24 22:08:50,http://bytecmedia.leadsconv.com/conversion?adv_sys=accesstradebytec&adn_city=Clifton&usd_sale_amount=600&conv_status=0&adn_country=United+States&conv_revenue=8&conv_time=2025-08-23T23%3A25&adn_d_brand=unknown&adv_s1=Buku+%26+Alat+Tulis&action_id=30&aff_sub=A_OEM2_VIVO_PUSH_AUG&traffic_time=2025-07-30T08%3A58%3A16&order_id=195339217&adn_d_type=DESKTOP,142.93.176.189,United States,Clifton,Mozilla/5.0 (Windows NT 6.1; rv:11.0) Gecko/20100101 Firefox/11.0,DESKTOP,unknown,Firefox,English,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,A_OEM2_VIVO_PUSH_AUG,--,--
garybu0801,966,Shopee ID NON KOL,209665541247917,existing-indirect,PENDING,2025-07-30 08:58:16,2025-08-23 23:25:00,--,Buku & Alat Tulis,250824KBTNJT4N_p-i.1484765451.26735397959_168906262277_Pulpen+%26+Tinta-AT3,1710.0,1,1710.0,24.00,195339218,108007,--,NOT_NEEDED,1,2025-08-24 22:06:33,http://bytecmedia.leadsconv.com/conversion?adv_sys=accesstradebytec&adn_city=Clifton&usd_sale_amount=1710&conv_status=0&adn_country=United+States&conv_revenue=24&conv_time=2025-08-23T23%3A25&adn_d_brand=unknown&adv_s1=Buku+%26+Alat+Tulis&action_id=30&aff_sub=A_OEM2_VIVO_PUSH_AUG&traffic_time=2025-07-30T08%3A58%3A16&order_id=195339218&adn_d_type=DESKTOP,142.93.176.189,United States,Clifton,Mozilla/5.0 (Windows NT 6.1; rv:11.0) Gecko/20100101 Firefox/11.0,DESKTOP,unknown,Firefox,English,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,A_OEM2_VIVO_PUSH_AUG,--,--
