"Conversion ID","Click Date","Conversion Date","Recorded On",Advertiser,"Campaign Name","Order ID","Sale Amount (USD)","Estimated Earnings (USD)","Publisher Sub ID 1",Status,Remarks,"Publisher Sub ID 2","Publisher Sub ID 3","Publisher Sub ID 4","Advertiser Sub ID 2","Advertiser Sub ID 3","Advertiser Sub ID 4","Advertiser Sub ID 5"
547317248,,"2025-08-09 22:41:15","2025-08-10 02:47:00","TikTok Shop ID - CPS",-,579936637909174029,0.65,0.00,RAMPUP,Pending,,,,,1729718108925232166,"20 pcs Garam masak Beryodium berat 100gram per pcs Bahan Salt Masakan Makanan",1729718021025596454,"hafizh colection01"
547027712,,"2025-08-09 20:23:37","2025-08-09 20:48:16","TikTok Shop ID - CPS",-,579935001014142011,1.29,0.04,RAMPUP,Pending,,,,,1732033317556881407,"PFW Fashion - Setelan Anak COMBI Laki-Laki & Perempuan COMBI Karakter Motif / Fashion Anak Tebaru",1732032312001136639,"PFW -Fashion"
546963969,,"2025-08-09 04:22:29","2025-08-09 08:42:24","TikTok Shop ID - CPS",-,579926604427723810,0.98,0.02,RAMPUP,Pending,,,,,1729864644206167069,"JUMBO Cetakan Jelly Ball Bola 33 Lubang / Cetakan Es Batu - Bulat - Viral Plastik Cream Kitchenware",1729864844207293469,"Cetakan Mama"
546996225,,"2025-08-09 10:48:34","2025-08-09 15:29:14","TikTok Shop ID - CPS",-,579928799910856187,0.38,0.00,RAMPUP,Pending,,,,,1729583896297048349,"MILNA Nature Puff Organic 15G | Cemilan Mpasi Bayi | Snack Mpasi 6 bulan +",1729583891194349853,Inidyababyfood
546953729,,"2025-08-09 00:41:00","2025-08-09 02:59:44","TikTok Shop ID - CPS",-,579925708562203924,0.76,0.04,RAMPUP,Pending,,,,,1729708126373447272,"Bandana Bayi Motif Bunga Pita Bahan Halus Headband Bayi Lucu Bando Bayi L442",1729707973073602152,"JXYbaby shop"
547036162,,"2025-08-09 18:13:22","2025-08-09 20:57:15","TikTok Shop ID - CPS",-,579933653174421164,3.60,0.07,RAMPUP,Pending,,,,,1731252532713522252,"sarung merak sudah dijahit Wanita",1731076738763031628,"sanjungan abadi jaya"
547036930,,"2025-08-09 17:58:57","2025-08-09 20:58:05","TikTok Shop ID - CPS",-,579933494353561128,2.25,0.08,RAMPUP,Pending,,,,,1729690308542761108,"Kaos polos wanita oversize-Kaos oversize wanita pocket lengan- T-shirt wanita Oversize Fit  Lembut  Panjang  Atasan",1729690308541712532,Reystore.bdg
546996226,,"2025-08-09 10:48:34","2025-08-09 15:29:14","TikTok Shop ID - CPS",-,579928799910856187,0.38,0.00,RAMPUP,Pending,,,,,1729583896297113885,"MILNA Nature Puff Organic 15G | Cemilan Mpasi Bayi | Snack Mpasi 6 bulan +",1729583891194349853,Inidyababyfood
547031299,,"2025-08-09 19:33:07","2025-08-09 20:52:02","TikTok Shop ID - CPS",-,579934506800022623,0.55,0.01,RAMPUP,Pending,,,,,1729387239663633749,"Krisnatex Tote Bag Blacu Polos - Shopping Bag Calico Totebag Wanita",1729387239663502677,Krisnatex
546996227,,"2025-08-09 10:48:34","2025-08-09 15:29:14","TikTok Shop ID - CPS",-,579928799910856187,0.38,0.00,RAMPUP,Pending,,,,,1729583896296982813,"MILNA Nature Puff Organic 15G | Cemilan Mpasi Bayi | Snack Mpasi 6 bulan +",1729583891194349853,Inidyababyfood
546953731,,"2025-08-09 00:41:00","2025-08-09 02:59:44","TikTok Shop ID - CPS",-,579925708562203924,0.92,0.05,RAMPUP,Pending,,,,,1729587156508771944,"Proyektor kartun senter mainan edukasi untuk anak/Mainan Anak Senter Proyektor/Senter mainan anak/Senter proyeksi multi-pola  L214",1729587084477236840,"JXYbaby shop"
547030532,,"2025-08-09 19:43:41","2025-08-09 20:51:12","TikTok Shop ID - CPS",-,579934581957559875,1.23,0.04,RAMPUP,Pending,,,,,1731052832947275622,"BELI 1 GRATIS 1 PARFUM TAHAN LAMA AROMA BISA RIQUES PARFUM REFIIL 35ML",1731032735322900326,Alvina-store
547039748,,"2025-08-09 16:56:23","2025-08-09 21:01:29","TikTok Shop ID - CPS",-,579932907506337674,0.62,0.01,RAMPUP,Pending,,,,,1729897917469722663,"SJT - Mini Shower Head Biru Hijau Pink/ Sambungan Kran Air Cuci Piring Fleksibel Penyaring tanpa garansi",1729897904003123239,"Sinar Jaya Tools"
547328516,,"2025-08-09 21:13:28","2025-08-10 02:55:04","TikTok Shop ID - CPS",-,579935559531791997,3.99,0.14,RAMPUP,Pending,,,,,1730129759105680586,"DEATHLESS KAOS LENGAN PANJANG | UNFINISH | LS SERIES",1730129690883228874,"Deathless Empire"
547332100,,"2025-08-09 20:49:15","2025-08-10 02:57:36","TikTok Shop ID - CPS",-,579935320147920749,1.32,0.01,RAMPUP,Pending,,,,,1729960122546555598,"Casing Infinx Hot 11s NFC Non Finger Terbaru Pro Camera Pelindung Hp Softcase Kesing Silikon TPU Tahan Air 18",1729960122545441486,"QUICK CASE"
546953476,,"2025-08-09 00:47:55","2025-08-09 02:59:29","TikTok Shop ID - CPS",-,579925782086911390,0.12,0.00,RAMPUP,Pending,,,,,1731759727178581146,"Finger Sleeve Sliding Lid Iron Box Solid Ointment Iron Box Frosted Square Sliding Iron Box kotak  roko",1731759676291122330,"APRIANUS BEREs"
546953732,,"2025-08-09 00:41:00","2025-08-09 02:59:44","TikTok Shop ID - CPS",-,579925708562203924,1.06,0.04,RAMPUP,Pending,,,,,1730388022157411944,"Topi Mandi Keramas Mahkota Anak Bayi Balita Baby Shower Cap Mahkota Peralatan Penutup Pelindung Kepala Mandi Anak L462",1730387837835642472,"JXYbaby shop"
546961156,,"2025-08-09 08:03:13","2025-08-09 08:35:40","TikTok Shop ID - CPS",-,579927409493116366,0.26,0.01,RAMPUP,Pending,,,,,1729744549256267163,"HAIR TONIC RAMBUT VITAMIN RAMBUT PENUMBUH DAN PELURUS RAMBUT PRIA WANITA HAIRTONIC Meluruskan Menumbuhkan rambut bebas ketombe",1729744541088253339,"PERFECTMENS STORE"
547045637,,"2025-08-09 15:09:56","2025-08-09 21:07:40","TikTok Shop ID - CPS",-,579931743905088787,0.30,0.01,RAMPUP,Pending,,,,,1729640727436561026,"Peniti Hijab Rainbow / Peniti Plastik Warna Warni Panjang Muslim Panjang Muslim",1729640727436364418,"Ria Locitta Collections"
546951685,,"2025-08-09 02:10:16","2025-08-09 02:57:21","TikTok Shop ID - CPS",-,579926209256589265,2.25,0.12,RAMPUP,Pending,,,,,1729960616910293492,"[PROMO] Salep KL Pi Kang Wang Original Krim G4taall",1729960616910227956,putriesolo3
546953733,,"2025-08-09 00:41:00","2025-08-09 02:59:44","TikTok Shop ID - CPS",-,579925708562203924,0.27,0.01,RAMPUP,Pending,,,,,1729610387340166760,"Tisu Basah Bayi 80 Sheet Baby Wipes BPA FREE L179",1729718895295040104,"JXYbaby shop"
547028998,,"2025-08-09 20:06:15","2025-08-09 20:49:30","TikTok Shop ID - CPS",-,579934845853598751,2.22,0.08,RAMPUP,Pending,,,,,1730560422048138827,"Emina Water Gel Moisturizer 30g | Mencerahkan & Mengurangi Flek Hitam | 48H Menjaga Kelembapan, Memperkuat Skin Barrier Mengurangi, Jerawat, dan Meredakan Kemerahan, Kulit Glowing, Mengandung Niacinamide, dan Vitamin C",1730560528724100683,eminacosmetics
547032326,,"2025-08-09 19:17:49","2025-08-09 20:53:12","TikTok Shop ID - CPS",-,579934281419097266,2.80,0.10,RAMPUP,Pending,,,,,1731630763032086113,"Senar Gitar Elektrik Steel Core Nickel Alloy Wound Philter Original",1729823378167072353,"Tan Store Official"
547037446,,"2025-08-09 17:44:53","2025-08-09 20:58:52","TikTok Shop ID - CPS",-,579933355398628564,2.55,0.04,RAMPUP,Pending,,,,,1729667696312747242,"Dejavu Keset Kaki 3 PCS Motif 3D Keset Kamar Mandi Keset Serap Air Keset Ruang Tamu Ukuran 40 x 60 Anti Licin HBC345",1729667856143189226,Dejavu
546999046,,"2025-08-09 09:24:43","2025-08-09 15:35:29","TikTok Shop ID - CPS",-,579928039362627167,1.98,0.08,RAMPUP,Pending,,,,,1731528646309479674,"Hiasan Pajangan Dinding Gantung Tali Pintu Kelas Kamar Motif - AKU 5",1731528646309414138,"Decor Art"
546951686,,"2025-08-09 02:10:16","2025-08-09 02:57:21","TikTok Shop ID - CPS",-,579926209256523729,1.48,0.01,RAMPUP,Pending,,,,,1731919033073894987,"PROMO 32PCS SOKLIN NATURE FREE 2 BOX TEPAK MAKAN (BOX TERBATAS)",1731918996789102155,eggagrosirkediri
546953734,,"2025-08-09 00:41:00","2025-08-09 02:59:44","TikTok Shop ID - CPS",-,579925708562203924,0.58,0.02,RAMPUP,Pending,,,,,1729572914350098024,"Mainan Mandi Anak Bayi Bentuk DOLPHIN Berenang Di Kolam Renang/Bebek mainan mandi bayi/Mainan Mandi Bayi Kura Kura/mainan mandi bayi  L81/82",1729572967757088360,"JXYbaby shop"
547033607,,"2025-08-09 18:56:13","2025-08-09 20:54:39","TikTok Shop ID - CPS",-,579934066825791462,0.27,0.00,RAMPUP,Pending,,,,,1729625475273755096,"?SAM? K36 Cincin simple Mutiara Wanita",1729625475273624024,"shoping aja murah"
546998791,,"2025-08-09 09:33:11","2025-08-09 15:34:49","TikTok Shop ID - CPS",-,579928101873354404,3.91,0.07,RAMPUP,Pending,,,,,1729639751918062494,"FYC - Yessica's Long Hour Perfume - Eau De Parfume",1729624242934483870,"yessicas shop"
547328775,,"2025-08-09 21:13:14","2025-08-10 02:55:16","TikTok Shop ID - CPS",-,579935590788204282,1.85,0.13,RAMPUP,Pending,,,,,1731047034840319740,"Mata bor eksentrik bergerigi silang empat sisi baru untuk pengeboran kering pada ubin keramik, beton, marmer, kaca Bor baja tungsten keras",1731047035994801916,"LUCKIN'S SHOP"
546952455,,"2025-08-09 01:29:20","2025-08-09 02:58:17","TikTok Shop ID - CPS",-,579926020573726084,6.89,0.05,RAMPUP,Pending,,,,,1729734890146858833,"Gilingan Mie | Pasta Maker | Gilingan Pasta YAMAKAWA Stainles Good Quality",1729734976469174097,"Mikro Elektrik"
546953735,,"2025-08-09 00:41:00","2025-08-09 02:59:44","TikTok Shop ID - CPS",-,579925708562203924,0.58,0.02,RAMPUP,Pending,,,,,1729572914349835880,"Mainan Mandi Anak Bayi Bentuk DOLPHIN Berenang Di Kolam Renang/Bebek mainan mandi bayi/Mainan Mandi Bayi Kura Kura/mainan mandi bayi  L81/82",1729572967757088360,"JXYbaby shop"
546961927,,"2025-08-09 07:28:13","2025-08-09 08:37:27","TikTok Shop ID - CPS",-,579927151129495163,1.11,0.01,RAMPUP,Pending,,,,,1729579685922507449,"Kabel Kopling Tali Cable Kopling Yamaha Jupiter MX New 135 50C",1729579685922441913,GCShop
546998025,,"2025-08-09 09:56:29","2025-08-09 15:33:15","TikTok Shop ID - CPS",-,579928300213929361,1.72,0.03,RAMPUP,Pending,,,,,1731652051341968446,"【Harga terendah pasar】1 PACK Vela tisu gantung  175*140mm 1020 helai 3 ply harga promo murah gratis ongkir bisa cod tisu murah promo tissue murah facial tissue Cocok untuk ibu dan bayi Lembut dan halus 1free hook",1731651865079088190,"Vela Mall"
547000585,,"2025-08-09 08:32:49","2025-08-09 15:38:51","TikTok Shop ID - CPS",-,579927608788813058,4.50,0.08,RAMPUP,Pending,,,,,1729435494851905602,"HiLo Teen 500g (9 flavours) - Susu Tinggi Kalsium Lebih Rendah Lemak",1729420221701916738,"Nutrimart Store"
547330825,,"2025-08-09 20:57:19","2025-08-10 02:56:40","TikTok Shop ID - CPS",-,579935390671340783,2.46,0.08,RAMPUP,Pending,,,,,1729839569254844285,"(10 Pasang) Kaos Kaki Olahraga New Sport 3/4 Motif",1729839356407220093,calzini
546984458,,"2025-08-09 14:52:08","2025-08-09 15:10:04","TikTok Shop ID - CPS",-,579931592346404328,0.23,0.00,RAMPUP,Pending,,,,,1730321285485528510,"Sikat Sepatu Multifungsi Dispenser Sabun Sikat Sepatu/Baju Sikat Permbersih Multifungsi Brush With Liquid Dispenser",1730321271361799614,"Djakarta Galerindo"
546998282,,"2025-08-09 09:48:11","2025-08-09 15:33:43","TikTok Shop ID - CPS",-,579928262577915401,0.83,0.00,RAMPUP,Pending,,,,,1729559840860767669,"(48 sachet) Kodomo Shampoo Anak Renceng 5ml x 48 Sachet Conditioner Vitamin Wangi Haircare Lepek Kosmetik",1729559842612807093,"Toko Aflah Pusat"
546964236,,"2025-08-09 03:42:38","2025-08-09 08:43:03","TikTok Shop ID - CPS",-,579926489838683760,1.26,0.02,RAMPUP,Pending,,,,,1730844130860828286,"tatakan rinnai kaki 4 @2pcs",1730844117727086206,"WIJAYA SPAREPART GAS"
546990604,,"2025-08-09 13:02:36","2025-08-09 15:18:24","TikTok Shop ID - CPS",-,579930377147876981,2.19,0.05,RAMPUP,Pending,,,,,1729763564391466729,"Lavojoy Let It Glow Body Serum Skin Brightening 180ml",1729763467372824297,"Surya Cantik"
546963469,,"2025-08-09 05:41:24","2025-08-09 08:41:16","TikTok Shop ID - CPS",-,579926763853743271,3.62,0.09,RAMPUP,Pending,,,,,1731794431526536482,"RAK JEPRET DEPAN HONDA WIN MURAH",1731794431526470946,mpclassicshop
546986765,,"2025-08-09 14:05:39","2025-08-09 15:13:20","TikTok Shop ID - CPS",-,579931039770379361,1.19,0.02,RAMPUP,Pending,,,,,1730505270387311685,"Casing Hp Untuk Infinix Hot 10 X682B X682C Case Pola busur kartun Kasing Silikon lembut Casing Perbatasan Gelang Cesing Softcase Kesing",1730505270387049541,Tempera
546998542,,"2025-08-09 09:40:32","2025-08-09 15:34:22","TikTok Shop ID - CPS",-,579928184218552285,4.88,0.17,RAMPUP,Pending,,,,,1729992194305395439,"(SUPER JUMBO) INNER DRESS KNIT PREMIUM ENIFTA UKURAN XXL",1729954123629824751,"House of enifta"
546998798,,"2025-08-09 09:32:56","2025-08-09 15:35:00","TikTok Shop ID - CPS",-,579928077410338577,1.09,0.01,RAMPUP,Pending,,,,,1729563792732949255,"Softex Maternity 45cm 10s - Pembalut Bersalin dan Nifas",1729563792732883719,"Sweety Indonesia"
547040271,,"2025-08-09 16:45:55","2025-08-09 21:01:56","TikTok Shop ID - CPS",-,579932799372330068,5.23,0.09,RAMPUP,Pending,,,,,1729655018346808986,"Rak Dapur Multifungsi / Rak Microwave Minimalis / Rak Rumah Tangga Multifungsi / Rak 5 susun dengan roda",1729655018346677914,"Hiro Store"
546994192,,"2025-08-09 11:44:28","2025-08-09 15:24:46","TikTok Shop ID - CPS",-,579929439334860447,0.61,0.02,RAMPUP,Pending,,,,,1730266861522421171,"Dudukan Plat Nomor Motor Universal Anti Getar Cover Plat Nomor Motor",1730266864323691955,Distroop
547312913,,"2025-08-09 23:19:49","2025-08-10 02:43:46","TikTok Shop ID - CPS",-,579937093841749622,3.32,0.03,RAMPUP,Pending,,,,,1729781636744709523,"SPECIAL BUNDLE 2in1 OMG Panthenol Ceramide - Protection Kit, Brightening Kit, Acne Kit, Twinpack - Pelembab Wajah Memperbaiki Skin Barrier, Mencerahkan dan Menghaluskan Wajah",1729781220754490771,"OMG Store"
547328785,,"2025-08-09 21:13:13","2025-08-10 02:55:16","TikTok Shop ID - CPS",-,579935571668207084,1.18,0.04,RAMPUP,Pending,,,,,1731657675228677510,"BAJU TUNG TUNG TUNG SAHUR ANAK EDISI 17 AGUSTUS Fashion",1731657645190710662,Jon.idn
546963217,,"2025-08-09 06:08:12","2025-08-09 08:40:44","TikTok Shop ID - CPS",-,579926818355250667,9.58,0.10,RAMPUP,Pending,,,,,1730810418590876962,"【Deep jerawat】Glad2Glow Deep Jerawat Bundle all in 1- 2/3/4/5 PCS Skincare Paket-Gel cleanser+Acne Moisturizer+Serum Ceramide Kering Membersihkan Wajah Acid Mencerahkan Vitamin Berjerawat Niacinamide Facial Exfoliating Pencerah skincare murah bpom",1730807083240621346,glad2glow.indo
547037714,,"2025-08-09 17:39:22","2025-08-09 20:59:08","TikTok Shop ID - CPS",-,579933302623667398,2.09,0.01,RAMPUP,Pending,,,,,1731412671183488301,"Protex Ungu isi 6 pack Maxi Wing 23 cm - Hers 5 pads 30 pcs pembalut",1731412631975134509,"Pinkyy Zone 3"
546990099,,"2025-08-09 13:12:24","2025-08-09 15:17:41","TikTok Shop ID - CPS",-,579930434950104200,6.77,0.02,RAMPUP,Pending,,,,,1729739836263139708,"LCD TOUCHSCREEN COMPATIBLE FOR VV Y19 1915 Y5S / U3 / U20",1729568599917037948,ONEPARTS
546962195,,"2025-08-09 07:13:50","2025-08-09 08:38:06","TikTok Shop ID - CPS",-,579927090680071386,1.43,0.02,RAMPUP,Pending,,,,,1730221023877367538,"Kaos Atasan oblong pria Lengan pendek \ Kaos oblong Sablon Zoro / Kaos Oblong/ Baju Kaos Tshirt/ Tshirt pria / Tshirt pria",1730220872562214642,"wenlie fashion"
546962708,,"2025-08-09 06:44:05","2025-08-09 08:39:25","TikTok Shop ID - CPS",-,579926943341184317,1.06,0.00,RAMPUP,Pending,,,,,1731725024463456116,"【BPOM】BIOAQUA Peach Clear Refreshing Gel 100g&eksfoliasi wajah Aloe/Peach Niacinamide Facial Exfoliating Gel deep peeling Brightening & Smooth peeling wajah mengelupas 100g",1729562042808634228,bioaquabeauty_id
546984470,,"2025-08-09 14:51:49","2025-08-09 15:10:05","TikTok Shop ID - CPS",-,579931584295634803,0.36,0.00,RAMPUP,Pending,,,,,1731640617141371996,"Peniti Pancing Pindat Kail Isi 12 Stainless Steel No 1 - 4 Grosir Murah",1731639915291771996,"Abizar Fishing Store"
546992918,,"2025-08-09 12:16:11","2025-08-09 15:22:17","TikTok Shop ID - CPS",-,579929758467720520,3.50,0.12,RAMPUP,Pending,,,,,1730724100606035655,"Sandal Kodok Echo Clog Pria Baim Unisex Sendal Terbaru Dewasa Casual CROCSS Cowok Slop Size 40-45",1730723847166068423,"DERTA' Official Store"
546995479,,"2025-08-09 11:09:51","2025-08-09 15:27:39","TikTok Shop ID - CPS",-,579929057444332693,5.72,0.18,RAMPUP,Pending,,,,,1729753328748103254,"Kemeja Putih Oversize Bordir Bunga Jumbo Nisa Top Atasan White Kasual By Laiqa Muslim Nyaman Baju Katun Hitam Panjang Remaja Dewasa Kancing Basic Casual Linen Tebal",1729566384890218070,"Ila fashion77"
546995735,,"2025-08-09 11:02:51","2025-08-09 15:28:07","TikTok Shop ID - CPS",-,579928935179847364,1.30,0.03,RAMPUP,Pending,,,,,1730366100603045639,"Softex Pembalut Daun Sirih Series",1730365930742187783,"Sweety Indonesia"
546996503,,"2025-08-09 10:39:54","2025-08-09 15:29:53","TikTok Shop ID - CPS",-,579928766734370596,1.23,0.08,RAMPUP,Pending,,,,,1730779505083778822,"Minyak Kemiri Bakar untuk Perawatan Rambut dan Kulit Kering - 100% Pure Candlenut Oil - Skin and Haircare Serum",1730779503118747398,"Rakuzen Store"
546997015,,"2025-08-09 10:25:38","2025-08-09 15:31:00","TikTok Shop ID - CPS",-,579928584390674123,0.26,0.01,RAMPUP,Pending,,,,,1729560529369533430,"Slinger Tinsel Natal Polos Satu Warna Hiasan Dekorasi Merry Christmas",1729560528498428918,"REAW STORE"
547329303,,"2025-08-09 21:07:24","2025-08-10 02:55:36","TikTok Shop ID - CPS",-,579935539282216269,1.08,0.01,RAMPUP,Pending,,,,,1729718076372125295,"CHARGER SPEAKER PORTABLE ADVANCE / tplink MR100 Adaptor 9V 2A / 1.5A jack cabang 2  Switching Adapter Transformer AC to DC 9 V 2A Power Supply 9 Volt 2Amper 2000 mAh",1729548606177643119,"Linx Store"
547029016,,"2025-08-09 20:05:56","2025-08-09 20:49:30","TikTok Shop ID - CPS",-,579934846032971634,0.98,0.02,RAMPUP,Pending,,,,,1731319095774774914,"Gelang tangan bangle wanita anti karat",1731318752912705154,"ATRI FINERY"
547029784,,"2025-08-09 19:54:33","2025-08-09 20:50:21","TikTok Shop ID - CPS",-,579934680047846445,0.62,0.02,RAMPUP,Pending,,,,,1729567147188783573,"SAMBUNGAN SARINGAN KRAN AIR FILTER AIR ANTI SPLASH Sieves And Colanders Keran Filter biru hijau pink",1729567147677223381,"Hoptech Indonesia Jaya"
547039000,,"2025-08-09 17:12:00","2025-08-09 21:00:34","TikTok Shop ID - CPS",-,579933065934046577,4.48,0.13,RAMPUP,Pending,,,,,1731123889152558364,"[CHALONESE] GLUTA WHITENING MOISTURZING TONER 2 160ML Mampu Mengangkat Sisa Makeup di Wajah dan Dapat Membuat Wajah Lebih Halus BPOM",1731123890294195484,"TCHALQNESE 5 perawatan kulit"
546997016,,"2025-08-09 10:25:38","2025-08-09 15:31:00","TikTok Shop ID - CPS",-,579928584390674123,0.49,0.02,RAMPUP,Pending,,,,,1729663696489318390,"Slinger Tinsel Bendera Merah Putih Hiasan Dekorasi Hut RI Dirgahayu Republik Indonesia 17 Agustus Kemerdekaan",1729444997806197750,"REAW STORE"
546997017,,"2025-08-09 10:25:38","2025-08-09 15:31:00","TikTok Shop ID - CPS",-,579928584390674123,0.18,0.01,RAMPUP,Pending,,,,,1729650746502646774,"Hiasan Dekorasi SET 2pcs Tempel Bendera Merah Putih HUT RI Dirgahayu",1729650746502581238,"REAW STORE"
546951449,,"2025-08-09 02:26:28","2025-08-09 02:57:06","TikTok Shop ID - CPS",-,579926311441106514,2.95,0.10,RAMPUP,Pending,,,,,1731548123221296471,"ACCESORIES PANEL BACKDOOR CENTA B80 CLEAR BENING CUTTING GRAVIR BAHAN PREMIUM Casing",1731548069221795159,VAMOS.ID
547000346,,"2025-08-09 08:41:25","2025-08-09 15:38:12","TikTok Shop ID - CPS",-,579927680969246076,2.18,0.08,RAMPUP,Pending,,,,,1730829089592280101,"KC10 Ikat Pinggang Pria Tipe Rel Men Belt Gesper Pria Sabuk Mewah Men Belt",1730829144771822629,Lablechoice
547031837,,"2025-08-09 19:25:05","2025-08-09 20:52:38","TikTok Shop ID - CPS",-,579934374725649685,5.66,0.04,RAMPUP,Pending,,,,,1729869461151385788,"GTZ5S MF 12V 5AH Aki Motor Honda Beat Vario 110 Supra X 125 Scoopy Spacy Blade Revo New Mega Pro - Aksesoris, kendaraan, Aki motor, Aki Motorcycle aki motor",1729869460959889596,"Bintang Aki"
546989598,,"2025-08-09 13:21:24","2025-08-09 15:16:59","TikTok Shop ID - CPS",-,579930566821119606,1.70,0.04,RAMPUP,Pending,,,,,1730688569784894748,"1PCS iRig AmpliTube Ampli Guitar Gitar Interface Adapter for iPhone /iPod Touch/iPad",1730688574432904476,"Diskonto Mall"
546999582,,"2025-08-09 09:06:07","2025-08-09 15:36:38","TikTok Shop ID - CPS",-,579927878174410644,0.86,0.02,RAMPUP,Pending,,,,,1730529420900468501,"Stiker Crot Stiker Bercak Isi 4 Cutting",1730529420985796373,"Banay Indonesia"
546953758,,"2025-08-09 00:39:48","2025-08-09 02:59:45","TikTok Shop ID - CPS",-,579925672352908297,1.46,0.05,RAMPUP,Pending,,,,,1729579595797006503,"Maimon The Label Basic Crop Top Baju Kaos Kasual Polos Atasan Wanita Rayon Spandex",1729579595796547751,"MAIMON The Label"
