"Conversion ID","Click Date","Conversion Date","Recorded On",Advertiser,"Campaign Name","Order ID","Sale Amount (USD)","Estimated Earnings (USD)","Publisher Sub ID 1",Status,Remarks,"Publisher Sub ID 2","Publisher Sub ID 3","Publisher Sub ID 4","Advertiser Sub ID 2","Advertiser Sub ID 3","Advertiser Sub ID 4","Advertiser Sub ID 5"
555070210,,"2025-08-22 22:29:32","2025-08-23 02:24:56","TikTok Shop ID - CPS",-,580092003194865181,1.49,0.03,MKK_73,Pending,,TTS,ID,DSP,1731826465324696741,"POLET STRIPING MOTIF STICKER STRIPING VARIASI BODY MOTOR HONDA BEAT POP MOTIF VARIASI TERBARU NEW SIMPLE A4",1731826464006964389,"SHOSRO STIKER"
555025158,,"2025-08-22 20:22:13","2025-08-22 21:19:55","TikTok Shop ID - CPS",-,580090507530635036,1.80,0.04,MP,Pending,,,,,1731448984858691327,"lapis legit kismis 17x17 700 gram Kue Enak Snack",1731448960433817343,"N H cake"
554571014,,"2025-08-22 06:30:43","2025-08-22 08:33:22","TikTok Shop ID - CPS",-,580082240788858030,1.53,0.02,MP,Pending,,,,,1731636897793541957,"Sandal Pria Sendal Cowok 39-44 Lembut Anti Selip Tahan Air Casual Olahraga Selop Pria Sepatu",1731636821759657797,"warkop tampomas"
554570247,,"2025-08-22 07:12:09","2025-08-22 08:31:44","TikTok Shop ID - CPS",-,580082418170758506,0.79,0.01,MP,Pending,,,,,1729586474315712490,"Fres & Natural Dessert Collection Body Wash Pink Cupcake 400 Ml",1729586474471819242,"Watsons Indonesia"
555029769,,"2025-08-22 18:36:46","2025-08-22 21:30:17","TikTok Shop ID - CPS",-,580089373143697164,5.20,0.15,MP,Pending,,,,,1729624988197619639,"[BELI 1 DAPAT 6]PROMO SUPER HEMAT 2025 TAS RANSEL PROMO BUNDLING BELI 1 DAPAT 6 BAHAN KULIT PU Hitam Backpack Wanita Pria Hemat Ongkir!",1729625048869996471,"Fast Higger"
555035402,,"2025-08-22 16:02:06","2025-08-22 21:42:54","TikTok Shop ID - CPS",-,580087784000030004,1.78,0.02,MP,Pending,,,,,1731340640058639797,"ILMU PENGETAHUAN SOSIAL UNTUK SMP/ MTs KELAS VIII/8 KURIKULUM 2013 EDISI REVISI BUKAN BUKU BARU KONDISI SANGAT BAGUS KUALITAS ORIGINAL PENERBIT ESIS BY N.SUPARNO DKK",1731340639324833205,"Diana Books"
555032590,,"2025-08-22 17:19:02","2025-08-22 21:36:40","TikTok Shop ID - CPS",-,580088612952901093,1.23,0.04,MP,Pending,,,,,1730821593060771825,"Case Untuk Infinix Hot 50 4G Flip Leather Case Cover  Premium -Flip Wallet Case Kulit Untuk Infinix Hot 50 4G- Casing Ponsel Protection Hitam Merah Biru",1730821629212461041,"CESTOR ACC"
554944527,,"2025-08-22 08:45:15","2025-08-22 16:35:29","TikTok Shop ID - CPS",-,580083020157518867,0.95,0.03,MKK,Pending,,,,,1729803988294009913,"DOHERO nobaret penghilang baret kendaraan cairan  pembersih garansi produsen pembersih lapisan cat dohero  penghilang Car Paint Car Paint penghilang  baret penghilang  baret penghilang  baret",1729804080092578873,STARMAL
555070228,,"2025-08-22 22:29:10","2025-08-23 02:25:07","TikTok Shop ID - CPS",-,580091983028520358,2.58,0.07,MP,Pending,,,,,1729584184179656454,"Kaos Oversize Wanita Lengan Panjang/ Kaos Distro WANITA// Kaos Streetwear Oversize / Baju Kaos Distro / Kaos / Wanita / COD/TERSEDIA 3 ukuran Motif Oblong Santai Soft Nyaman Sablon",1729584240125445894,"yesmy shop"
554569241,,"2025-08-22 07:54:00","2025-08-22 08:29:37","TikTok Shop ID - CPS",-,580082658919875986,0.64,0.02,MKK,Pending,,,,,1730352518582732360,"Bando Jepit 2in1 Include Ikat Penjepit Rambut Wanita Motif Bunga Mutiara Diamond Bandana Korean Style Aksesoris",1730352083590153800,"Oura Accessories"
554572059,,"2025-08-22 05:03:52","2025-08-22 08:35:27","TikTok Shop ID - CPS",-,580082002097309606,1.18,0.00,MP,Pending,,,,,1730731210979444466,"Mie Lidi Medan / Mie Gomak GL cap Harimau Mie Goreng Mie Aceh Spagetti 1 kg",1730731223909762802,Shop.HME
555036956,,"2025-08-22 21:31:28","2025-08-22 21:52:26","TikTok Shop MY - CPS",-,580091337100199418,4.75,0.18,MKK_78,Pending,,TTS,MY,DSP,1732038412896143035,"Kemeja Wanita Muslim, Lengan Panjang, Cetakan Bunga 3D, Lembut dan Selesa, Kering dan Fesyen, Gaya Kasual, Rekaan Ringkas",1732038404289562299,Boredfanjihuishang
554910239,,"2025-08-22 14:14:21","2025-08-22 16:01:37","TikTok Shop ID - CPS",-,580086378740024399,1.52,0.01,MP,Pending,,,,,1729674108503886545,"KAPSTOK KARAKTER GATUNGAN PAKAIAN MOTIK KARAKTER Balkon",1729674108503821009,"rizki olshop92"
